"","Age.3","Age.4","Age.5","Age.6","Total"
"PointFC","11,732","156,510","361,074","34,484","563,799"
"p10","3,919","62,940","176,710","10,889","218,593"
"p25","7,289","109,476","263,107","24,019","404,157"
"Median","12,038","165,385","365,083","42,445","589,170"
"p75","16,890","221,673","478,046","63,879","783,301"
"p90","21,346","275,973","583,309","85,378","963,562"
