"","Age.3","Age.4","Age.5","Age.6","Total"
"PointFC","11,054","24,990","81,934","36,639","154,617"
"p10","3,903","13,481","33,355","12,831","64,282"
"p25","7,580","33,907","89,617","26,375","149,100"
"Median","12,368","68,704","169,605","46,218","301,832"
"p75","16,965","112,645","284,354","73,587","488,196"
"p90","21,765","156,760","390,130","94,059","670,472"
