"","Age.3","Age.4","Age.5","Age.6","Total"
"PointFC","29,129","259,883","90,344","40,794","420,149"
"p10","12,263","124,419","44,886","11,735","138,124"
"p25","20,147","187,332","104,605","29,368","292,331"
"Median","30,013","254,616","198,319","52,125","518,060"
"p75","38,787","325,489","334,596","79,663","773,050"
"p90","47,875","384,644","485,778","107,199","1,023,603"
