"","Age.3","Age.4","Age.5","Age.6","Total"
"PointFC","17,448","202,655","62,532","52,108","334,743"
"p10","5,852","90,251","39,871","18,192","99,184"
"p25","11,101","140,017","89,577","34,095","217,795"
"Median","17,733","204,164","178,979","60,898","417,950"
"p75","24,482","276,288","292,455","88,884","664,295"
"p90","31,553","330,117","402,542","115,923","899,333"
