"","Age.3","Age.4","Age.5","Age.6","Total"
"PointFC","5,183","21,350","90,020","18,718","135,272"
"p10","2,500","13,648","31,461","7,853","54,152"
"p25","3,734","34,420","83,717","16,780","123,555"
"Median","5,171","63,563","156,764","32,845","252,163"
"p75","6,624","108,446","249,335","51,243","430,677"
"p90","8,073","150,877","343,204","71,549","566,498"
