"","Age.3","Age.4","Age.5","Age.6","Total"
"PointFC","13,343","60,243","157,538","32,611","263,736"
"p10","4,867","20,008","45,547","11,551","72,077"
"p25","8,979","47,019","111,840","26,171","182,960"
"Median","13,677","87,396","214,442","47,823","357,161"
"p75","18,912","140,066","327,578","70,819","563,974"
"p90","23,227","194,319","444,457","93,172","780,867"
