"","Age.3","Age.4","Age.5","Age.6","Total"
"PointFC","12,357","43,500","75,873","16,736","148,466"
"p10","4,000","14,245","30,254","7,376","61,378"
"p25","7,955","37,242","78,723","16,706","151,487"
"Median","13,357","79,402","159,721","32,475","300,706"
"p75","18,908","125,703","256,190","50,072","461,933"
"p90","25,287","176,351","353,018","71,305","601,384"
