"","Age.3","Age.4","Age.5","Age.6","Total"
"PointFC","13,251","36,637","263,537","31,905","345,329"
"p10","4,340","15,111","91,278","8,736","106,930"
"p25","8,115","37,622","179,180","22,333","222,678"
"Median","13,558","76,960","295,771","41,441","417,449"
"p75","19,478","128,340","413,623","65,914","624,713"
"p90","24,153","172,265","526,911","87,057","828,164"
