"","Age.3","Age.4","Age.5","Age.6","Total"
"PointFC","12,549","53,236","105,902","34,675","206,362"
"p10","4,782","18,930","40,179","10,845","64,087"
"p25","8,529","45,685","97,773","25,745","147,238"
"Median","13,600","89,480","190,646","47,039","325,007"
"p75","19,449","139,060","316,608","72,676","526,088"
"p90","23,783","186,337","440,696","97,498","723,986"
