"","Age.3","Age.4","Age.5","Age.6","Total"
"PointFC","10,574","22,075","169,924","40,900","243,473"
"p10","4,471","21,771","65,480","12,503","93,415"
"p25","7,424","49,197","156,683","26,494","227,563"
"Median","10,917","95,381","318,399","45,546","436,738"
"p75","14,390","161,031","478,263","71,110","700,617"
"p90","17,273","235,585","673,762","92,932","993,387"
