"","Age.3","Age.4","Age.5","Age.6","Total"
"PointFC","14,285","36,714","95,394","31,854","178,247"
"p10","4,836","17,738","41,205","11,079","69,542"
"p25","9,564","42,043","95,624","26,085","179,943"
"Median","15,403","82,618","195,843","46,106","362,232"
"p75","20,953","133,505","305,256","74,909","557,980"
"p90","26,686","186,066","422,403","101,117","743,943"
