"","Age.3","Age.4","Age.5","Age.6","Total"
"PointFC","5,668","35,135","100,600","9,042","150,445"
"p10","3,500","13,280","39,048","5,496","55,899"
"p25","4,541","33,563","81,745","13,140","139,777"
"Median","5,691","68,297","162,331","28,350","260,335"
"p75","6,805","108,517","258,024","45,360","406,781"
"p90","7,861","150,001","361,304","65,363","578,135"
