"","Age.3","Age.4","Age.5","Age.6","Total"
"PointFC","13,731","123,451","115,352","28,374","280,907"
"p10","5,444","37,372","40,647","9,233","77,028"
"p25","9,450","74,900","98,345","22,301","173,635"
"Median","14,105","128,266","194,380","38,343","363,253"
"p75","20,104","184,176","296,758","64,135","578,792"
"p90","25,365","248,202","400,802","86,181","776,875"
