"","Age.3","Age.4","Age.5","Age.6","Total"
"PointFC","23,278","105,651","262,297","71,942","463,168"
"p10","7,031","33,460","85,947","25,316","148,437"
"p25","14,876","69,762","194,158","45,972","314,199"
"Median","25,656","125,132","336,092","77,363","585,017"
"p75","36,430","186,152","496,823","111,242","851,335"
"p90","46,782","250,383","661,699","145,574","1,118,657"
