"","Age.3","Age.4","Age.5","Age.6","Total"
"PointFC","20,220","380,396","178,548","33,798","612,961"
"p10","7,391","134,393","54,895","12,053","194,484"
"p25","13,948","254,748","128,707","31,320","380,931"
"Median","22,728","390,288","250,334","56,684","669,780"
"p75","33,574","560,219","411,702","94,444","1,043,213"
"p90","42,273","676,981","576,311","126,468","1,358,231"
