"","Age.3","Age.4","Age.5","Age.6","Total"
"PointFC","24,261","263,163","224,479","107,547","619,450"
"p10","7,541","131,588","71,405","52,099","205,320"
"p25","15,424","197,650","169,804","78,476","410,271"
"Median","26,166","265,260","315,052","110,677","696,795"
"p75","37,633","334,797","504,711","144,764","986,965"
"p90","47,434","404,851","679,558","174,724","1,236,328"
