"","Age.3","Age.4","Age.5","Age.6","Total"
"PointFC","8,501","55,207","94,918","10,002","168,628"
"p10","2,899","15,945","33,422","5,747","70,724"
"p25","5,722","38,939","78,504","13,760","149,831"
"Median","9,200","77,879","155,271","26,142","295,055"
"p75","12,400","128,865","243,950","44,997","482,534"
"p90","15,762","177,169","338,071","66,470","653,731"
