"","Age.3","Age.4","Age.5","Age.6","Total"
"PointFC","21,475","101,854","1,051,392","129,092","1,303,814"
"p10","7,824","32,105","450,104","55,550","546,451"
"p25","14,549","71,663","716,954","86,293","888,588"
"Median","23,872","129,382","1,066,998","129,937","1,376,562"
"p75","34,025","194,494","1,403,853","172,905","1,814,795"
"p90","41,798","257,948","1,695,784","211,074","2,224,677"
