"","Age.3","Age.4","Age.5","Age.6","Total"
"PointFC","8,428","115,962","283,875","29,634","437,899"
"p10","3,145","43,290","110,364","8,658","145,731"
"p25","5,698","76,288","185,960","19,757","274,422"
"Median","8,711","126,467","300,469","37,604","456,277"
"p75","11,520","182,119","411,416","58,848","627,884"
"p90","14,422","229,880","510,895","76,196","795,217"
