"","Age.3","Age.4","Age.5","Age.6","Total"
"PointFC","15,587","184,749","196,188","36,274","432,797"
"p10","5,502","76,127","57,971","11,114","128,379"
"p25","10,603","128,362","128,708","26,755","289,678"
"Median","16,492","183,546","241,412","47,380","484,825"
"p75","23,441","244,831","371,447","70,731","707,631"
"p90","29,715","294,537","483,932","95,538","883,982"
