"","Age.3","Age.4","Age.5","Age.6","Total"
"PointFC","17,838","270,711","356,322","43,457","688,328"
"p10","6,287","151,945","157,121","14,381","307,033"
"p25","11,261","205,289","245,150","27,534","474,026"
"Median","18,645","270,192","351,918","45,897","697,775"
"p75","25,873","332,829","466,054","68,762","906,676"
"p90","33,434","389,779","563,335","89,264","1,066,839"
