"","Age.3","Age.4","Age.5","Age.6","Total"
"PointFC","19,439","108,166","29,238","50,396","207,238"
"p10","8,564","35,737","32,923","13,286","74,846"
"p25","13,835","75,299","80,574","32,809","182,220"
"Median","19,290","131,038","169,790","62,413","361,754"
"p75","25,950","189,260","285,197","93,411","600,397"
"p90","31,661","249,418","407,291","122,282","788,377"
