"","Age.3","Age.4","Age.5","Age.6","Total"
"PointFC","11,754","10,651","57,222","20,522","100,149"
"p10","3,992","11,450","30,158","7,644","55,928"
"p25","7,677","28,650","74,049","18,033","142,015"
"Median","13,584","62,778","147,986","34,274","273,898"
"p75","19,684","107,625","248,766","57,195","425,445"
"p90","25,712","153,743","340,153","80,644","607,120"
