CU,SpeciesId,CU_Name,Year,T_Idx_E,ExpFactor1,AdjSum,ExpFactor2,ObsE,ExpFactor3,TE,CDN Harvest,CDN ER,TRTC,Total Harvest,Total ER,Total Run,Q1,Q2,Q3,ER Indicator,ER Indicator Lookup,ER Source,StatArea
SX_L-22-02,SX,Azuklotz,1987,"4,000",1.00,"4,000",1.00,"4,000",2.00,"8,000","4,849",35.9%,"12,849","5,497",40.7%,"13,497",2.00,5.00,5.00,Bear+,[LOOKUP CU],Sockeye Model,04
SX_L-22-02,SX,Azuklotz,1988,"3,000",1.00,"3,000",1.00,"3,000",2.00,"6,000","7,257",47.8%,"13,257","9,177",60.5%,"15,177",2.00,5.00,5.00,Bear+,[LOOKUP CU],Sockeye Model,04
SX_L-22-02,SX,Azuklotz,1989,700,1.00,700,1.00,700,2.00,"1,400","1,128",38.2%,"2,528","1,556",52.6%,"2,956",2.00,5.00,5.00,Bear+,[LOOKUP CU],Sockeye Model,04
SX_L-22-02,SX,Azuklotz,1990,"1,000",1.00,"1,000",1.00,"1,000",2.00,"2,000","2,007",41.8%,"4,007","2,805",58.4%,"4,805",2.00,5.00,5.00,Bear+,[LOOKUP CU],Sockeye Model,04
SX_L-22-02,SX,Azuklotz,1991,"3,400",1.00,"3,400",1.00,"3,400",2.00,"6,800","8,298",45.8%,"15,098","11,311",62.5%,"18,111",2.00,5.00,5.00,Bear+,[LOOKUP CU],Sockeye Model,04
SX_L-22-02,SX,Azuklotz,1992,"2,100",1.00,"2,100",1.00,"2,100",2.00,"4,200","5,485",48.4%,"9,685","7,141",63.0%,"11,341",2.00,5.00,5.00,Bear+,[LOOKUP CU],Sockeye Model,04
SX_L-22-02,SX,Azuklotz,1993,"2,500",1.00,"2,500",1.00,"2,500",2.00,"5,000","5,493",46.9%,"10,493","6,713",57.3%,"11,713",2.00,5.00,5.00,Bear+,[LOOKUP CU],Sockeye Model,04
SX_L-22-02,SX,Azuklotz,1994,,,,,,,,,,,,,,,,,Bear+,[LOOKUP CU],Sockeye Model,04
SX_L-22-02,SX,Azuklotz,1995,"4,000",1.00,"4,000",1.00,"4,000",2.00,"8,000","10,685",48.0%,"18,685","14,249",64.0%,"22,249",2.00,5.00,5.00,Bear+,[LOOKUP CU],Sockeye Model,04
SX_L-22-02,SX,Azuklotz,1996,"2,250",1.00,"2,250",1.00,"2,250",2.00,"4,500","7,598",56.3%,"12,098","9,005",66.7%,"13,505",2.00,5.00,5.00,Bear+,[LOOKUP CU],Sockeye Model,04
