AgeComp,runyear,RunAge3,RunAge4,RunAge5,RunAge6,RunAge7,Total
MeziadinAnnual,2016,0.009543429,0.214428742,0.633075334,0.142952495,0,1
MeziadinAnnual,2017,0.037955444,0.268958693,0.48619456,0.206891302,0,1
MeziadinAnnual,2018,0.066603953,0.456326956,0.394100553,0.082968538,0,1
MeziadinAnnual,2019,0.041486672,0.48464157,0.355403818,0.118467939,0,1
MeziadinAnnual,2020,0.020000475,0.347741767,0.590107241,0.042150517,0,1
MeziadinAnnual,2021,0.047885431,0.47808549,0.408545847,0.065483232,0,1
MeziadinAnnual,2022,0.050803507,0.505629648,0.387588586,0.055978259,0,1
MeziadinAnnual,2023,0.066675922,0.44324877,0.418558701,0.071516607,0,1
