"SpeciesId","Species Name","StatArea","Year","T_Idx_E","ExpFactor1","AdjSum","ExpFactor2","ObsE","ExpFactor3","TE","CDN Harvest","CDN ER","TRTC","Total Harvest","Total ER","Total Run","Q1","Q2","Q3"
"PKe","Pink (even years)","04",1990,2312335,1.00815577362868,2331193.88081367,1.33127292891278,3103455.30557436,1.5,4655182.95836153,3336495.62862963,0.353374697872571,7991678.58699116,4786623.85100088,0.506960579436396,9441806.80936241,2.21428571428571,4.95955102454395,3.75580385615096
"PKe","Pink (even years)","04",1992,671810,1.00656366591434,676219.536397913,1.33127292891278,900232.762808491,1.5,1350349.14421274,2366257.73447149,0.533442185220681,3716606.87868423,3085478.76747106,0.695581259891537,4435827.9116838,2.21428571428571,4.96739567432936,3.75580385615096
"PKe","Pink (even years)","04",1994,170033,1,170033,1.33127292891278,226360.329921827,1.5,339540.49488274,274299.537110468,0.347360521066034,613840.031993208,450127.64664542,0.570021282325429,789668.14152816,2.21428571428571,5,3.75580385615096
"PKe","Pink (even years)","04",1996,1720542,1.00612009997369,1731071.88904893,1.33127292891278,2304529.14389275,1.5,3456793.71583913,3544432.1891594,0.412990519202531,7001225.90499853,5125563.56442863,0.59722094956512,8582357.28026776,2.21428571428571,4.96958563906113,3.75580385615096
"PKe","Pink (even years)","04",1998,202490,1.00069015144081,202629.74876525,1.33127292891278,269755.499123575,1.5,404633.248685363,71948.1585345356,0.129165127228557,476581.407219899,152391.391620404,0.273581060142603,557024.640305767,2.21428571428571,4.99655162269849,3.75580385615096
"PKe","Pink (even years)","04",2000,256348,1.12434779865361,288224.309489257,1.33127292891278,383705.220677626,1.5,575557.831016439,462578.905501187,0.397599227521547,1038136.73651763,587872.260094889,0.505292294385599,1163430.09111133,2.21428571428571,4.44702253696535,3.75580385615096
"PKe","Pink (even years)","04",2002,147212,3.03675458490096,447046.71595244,1.33127292891278,595141.190906844,1.5,892711.786360266,352630.74160721,0.25379283259459,1245342.52796748,496731.477273992,0.35750396599479,1389443.26363426,2.21428571428571,1.64649459158158,3.75580385615096
"PKe","Pink (even years)","04",2004,653327,1.05020905327033,686129.930145946,1.33127292891278,913426.201720114,1.5,1370139.30258017,620479.482684204,0.269592775057884,1990618.78526437,931404.136597607,0.404686750961498,2301543.43917778,2.21428571428571,4.76095686323603,3.75580385615096
"PKe","Pink (even years)","04",2006,116360,1.06012166198927,123355.756589071,1.33127292891278,164220.179372584,1.5,246330.269058877,174594.691307687,0.392940313011731,420924.960366564,197998.514540567,0.445612622564331,444328.783599444,2.21428571428571,4.71643980052039,3.75580385615096
"PKe","Pink (even years)","04",2008,69802,1.09851679468318,76678.669302475,1.33127292891278,102080.23666744,1.5,153120.35500116,38680.9618607109,0.182794858755216,191801.316861871,58488.2324838369,0.276398199047492,211608.587484997,2.21428571428571,4.55159176828248,3.75580385615096
