"","Age.3","Age.4","Age.5","Age.6","Total"
"PointFC","26,103","277,467","249,535","40,153","593,258"
"p10","6,410","115,641","145,607","16,715","332,093"
"p25","10,896","154,677","184,313","27,544","427,500"
"Median","25,242","217,917","232,777","42,027","552,987"
"p75","37,363","357,846","327,686","62,241","741,168"
"p90","51,413","480,938","411,622","86,178","935,294"
